time,split,epoch,step,metric,value
1759783416.931,train,34,3995,ctc_loss,0.23090781271457672
1759783419.011,train,34,3996,ctc_loss,0.21114617586135864
1759783421.085,train,34,3997,ctc_loss,0.22636228799819946
1759783423.109,train,34,3998,ctc_loss,0.20469309389591217
1759783425.182,train,34,3999,ctc_loss,0.23000168800354004
1759783427.575,train,34,4000,ctc_loss,0.2204926311969757
1759783429.783,train,34,4001,ctc_loss,0.2043999880552292
1759783431.906,train,34,4002,ctc_loss,0.2102086842060089
1759783434.115,train,34,4003,ctc_loss,0.2206679880619049
1759783436.148,train,34,4004,ctc_loss,0.22000011801719666
1759783438.141,train,34,4005,ctc_loss,0.22501668334007263
1759783440.295,train,34,4006,ctc_loss,0.2113751918077469
1759783442.419,train,34,4007,ctc_loss,0.20498467981815338
1759783444.504,train,34,4008,ctc_loss,0.20907944440841675
1759783446.460,train,34,4009,ctc_loss,0.21113033592700958
1759783448.447,train,34,4010,ctc_loss,0.2121642380952835
1759783450.416,train,34,4011,ctc_loss,0.22808364033699036
1759783451.780,train,34,4012,ctc_loss,0.2160947471857071
1759783510.148,val,34,4012,ctc_loss,0.283872215077281
1759783510.148,val,34,4012,cer,0.09475481850263252
1759783515.882,train,35,4013,ctc_loss,0.20742890238761902
1759783518.003,train,35,4014,ctc_loss,0.2129543125629425
1759783520.143,train,35,4015,ctc_loss,0.22501140832901
1759783522.236,train,35,4016,ctc_loss,0.20007285475730896
1759783524.352,train,35,4017,ctc_loss,0.2215547114610672
1759783526.432,train,35,4018,ctc_loss,0.20250388979911804
1759783528.560,train,35,4019,ctc_loss,0.2217029631137848
1759783530.663,train,35,4020,ctc_loss,0.20647671818733215
1759783532.705,train,35,4021,ctc_loss,0.2112080454826355
1759783534.739,train,35,4022,ctc_loss,0.1996120810508728
1759783536.741,train,35,4023,ctc_loss,0.20097000896930695
1759783538.914,train,35,4024,ctc_loss,0.20929169654846191
1759783541.082,train,35,4025,ctc_loss,0.21889707446098328
1759783543.215,train,35,4026,ctc_loss,0.18954437971115112
1759783545.315,train,35,4027,ctc_loss,0.20035548508167267
1759783547.467,train,35,4028,ctc_loss,0.20440390706062317
1759783549.659,train,35,4029,ctc_loss,0.2030179798603058
1759783551.806,train,35,4030,ctc_loss,0.22625866532325745
1759783553.948,train,35,4031,ctc_loss,0.2217552810907364
1759783556.144,train,35,4032,ctc_loss,0.21997931599617004
1759783558.306,train,35,4033,ctc_loss,0.22290316224098206
1759783560.461,train,35,4034,ctc_loss,0.21285772323608398
1759783562.666,train,35,4035,ctc_loss,0.1994144320487976
1759783564.876,train,35,4036,ctc_loss,0.2408231645822525
1759783567.027,train,35,4037,ctc_loss,0.21884363889694214
1759783569.174,train,35,4038,ctc_loss,0.20981840789318085
1759783571.284,train,35,4039,ctc_loss,0.21688687801361084
1759783573.575,train,35,4040,ctc_loss,0.22389408946037292
1759783575.780,train,35,4041,ctc_loss,0.20741558074951172
1759783577.897,train,35,4042,ctc_loss,0.2172456979751587
1759783580.030,train,35,4043,ctc_loss,0.21960198879241943
1759783582.280,train,35,4044,ctc_loss,0.2008858174085617
1759783584.513,train,35,4045,ctc_loss,0.20850685238838196
1759783586.765,train,35,4046,ctc_loss,0.22019211947917938
1759783588.942,train,35,4047,ctc_loss,0.2207963466644287
1759783591.166,train,35,4048,ctc_loss,0.2119324952363968
1759783593.378,train,35,4049,ctc_loss,0.21430349349975586
1759783595.527,train,35,4050,ctc_loss,0.20029203593730927
1759783597.696,train,35,4051,ctc_loss,0.2151392251253128
1759783599.950,train,35,4052,ctc_loss,0.21351590752601624
1759783602.030,train,35,4053,ctc_loss,0.2105606496334076
1759783604.343,train,35,4054,ctc_loss,0.21298903226852417
1759783606.418,train,35,4055,ctc_loss,0.21037426590919495
1759783608.575,train,35,4056,ctc_loss,0.21535995602607727
1759783610.878,train,35,4057,ctc_loss,0.20477688312530518
1759783612.955,train,35,4058,ctc_loss,0.21634352207183838
1759783615.021,train,35,4059,ctc_loss,0.22037823498249054
1759783617.439,train,35,4060,ctc_loss,0.21329468488693237
1759783619.621,train,35,4061,ctc_loss,0.2190643697977066
1759783621.812,train,35,4062,ctc_loss,0.22317436337471008
1759783623.887,train,35,4063,ctc_loss,0.21276651322841644
1759783626.012,train,35,4064,ctc_loss,0.2117561399936676
1759783628.245,train,35,4065,ctc_loss,0.2429271936416626
1759783630.486,train,35,4066,ctc_loss,0.21062694489955902
1759783632.627,train,35,4067,ctc_loss,0.20497217774391174
1759783634.864,train,35,4068,ctc_loss,0.21947813034057617
1759783636.981,train,35,4069,ctc_loss,0.21352873742580414
1759783639.141,train,35,4070,ctc_loss,0.21107834577560425
